word_list,alternative_list
Hostessen,Gästebetreunde
Hosts,Gästebetreuende
Ich-Erzähler,Ich-Form
Ich-Erzähler,Ich-Figur
Ich-Erzähler,erzählendes Ich
Immigranten,Menschen mit Migrationshintergrund
Immigranten,Menschen mit Migrationsgeschichte
Immigranten,Menschen mit Migrationsbiografie
Immobilienbesitzer,Immobilienbesitzende
Informant,Informationsquelle
Informant,Quelle
Informatiker,auf den IT-Bereich spezialisierte Person
Ingenieurberuf,Ingenieursberuf
Ingenieurwesen,Technikwissenschaften
Ingenieurwesen,technische Wissenschaften
Ingenieurwesen,Technik
Inhaber,etwas innehabende Person
Initiatoren,Initiierende
Investoren,Investierende
Interessenten,Interessierte
Interviewer,interviewende Person
Interviewer,Interviewende
Interviewpartner,Interviewte
Jäger,jagende Person
Jäger,Person auf der Jagd
Jäger,Jägerschaft
Jäger,jagende Personen
Jäger,Personen auf der Jagd
jeder,alle
jeder,alle für sich
Jeder kann teilnehmen,Alle können teilnehmen
"jeder, der ","alle, die "
"jeder, der ","jene, die "
jedermann,alle
"jemand, der ","eine Person, die "
"jemand, der ","ein Mensch, der "
Journalist,Presse
Journalist,Medien
Journalist,jemand von der Presse
Journalist,jemand vom Fernsehen
Journalist,wer für die Zeitung berichtet
Journalist,wer fürs Fernsehen berichtet
Journalisten,im Journalismus Tätige
Journalisten,im Journalismus arbeitende
Journalisten,Medienschaffende
Journalisten,Presse
Journalisten,die Medien
Juden,Menschen jüdischen Glaubens
Juden,jüdische Menschen
Juden,Mitglieder der jüdischen Gemeinschaft
Juden,Angehörige der jüdischen Gemeinschaft
Juden,Angehörige des jüdischen Volkes
Juden,Mitglieder des jüdischen Volkes
Jugendlicher,junge Person
Jugendlicher,junger Mensch
Jugendlicher,Teenie
Jugendlicher,Teen
Jugendlicher,Teenager
Kameramänner,Kamerateam
Kandidaten,Kandidierende
Kandidatenfragen,Personalfrage
Kandidatenfragen,K-Frage
Kandidatenvorschlag,Personalvorschlag
Kanzler,Regierung führende Person
Kanzler,Regierungsoberhaupt
Kanzleramt,Amt des Regierungsoberhauptes
Karnevalisten,Karneval Feiernde
Kassierer,Person an der Kasse
Katholiken,Menschen katholischen Glaubens
kaufmännisch,zahlentechnisch
kaufmännisch,finanztechnisch
kaufmännisch,in Zahlen gesehen
eine kaufmännische Ausbildung,Ausbildung zur Fachkraft für Büromanagement
keiner,niemand
Kellner,Servicekraft
Kellner,Bedienung
Kinderarztpraxis,Praxis für Kinderheilkunde
Kindergärtner,pädagogische Fachkraft
Kindergärtner,Erziehungskraft
Kindermädchen,Kinderbetreuung
Kindermädchen,Aupair
Kläger,klagende Person
Kleinbauern,kleine Landwirtschaftsbetriebe
Klient,ratsuchende Person
Klient,Beratung in Anspruch nehmende Person
Klient,"Person, die in die Beratung kommt"
Klient,Fall
Klient,Besuch
Klienten,Klientel
klientenorientiert,orientiert am Bedarf der ratsuchenden Person
Kollege,mitarbeitende Person
Kollegen,Kollegschaft
Kollegen,Kollegium
Unterstützung eines Kollegen,kollegiale Unterstützung
Kommentator,kommentierender Pressemensch
Kommentator,kommentierende Presse
Kommentatoren,Kommentar von Medienschaffenden
Kommilitonen,Mitstudierende
Komparse,stumme Rolle
Komparse,Person ohne Sprechrolle
Komparse,Nebenfigur
Komponist,musikschaffende Person
Komponist,kompositionstätige Person
Komponisten,Musikschaffende
Komponisten,Kompositionstätige
Konfirmand,zu konfirmierende Person
Konfirmanden,zu Konformierende
Konfirmanden,Jugendliche in der Konfirmationsvorbereitung
Konfirmandenunterricht,Konfirmationsunterricht
Kontrahent,Gegenüber
Kontoinhaber,kontoinhabende Person
Konkurrent,Konkurrenz
Konsumenten,Konsumierende
Konsumenten,Kundschaft
Konsumenten,einkaufende Zielgruppe
Konsumenten,konsumierende Zielgruppe
Kooperationspartner,in Kooperation mit
Koordinator,Koordination
